Kinase	Observed	SamplingAvg	SD	Z
Met	32	26.4115	8.007760602373954	0.6978854985179317
MEK1/MAP2K1	0	1.158	1.7471583446100616	-0.6627905270134216
CSK	22	27.6875	8.824498832218174	-0.6445125222562197
ADCK3	0	0.248	0.4319598299001004	-0.5741274600866361
PKA[alpha]	0	0.243	0.4290023560666717	-0.5664304555992581
CDK2	0	0.241	0.42779727120755023	-0.5633509520051996
Ack1	0	0.2395	0.4268850728623763	-0.5610409340249115
CDK3	0	0.479	0.8537701457247526	-0.5610409340249115
Wee2	0	0.239	0.4265794005721517	-0.56027084214437
RSKL2	0	0.2385	0.42627292231873126	-0.5595007036868966
ERK2	0	0.237	0.42534863433466574	-0.5571899869167738
GSK3[alpha]	0	0.2335	0.42316342427225545	-0.5517962720940893
Wee1	0	0.467	0.8463268485445109	-0.5517962720940893
GSK3[beta]	0	0.2325	0.42253167515377366	-0.5502546049722434
TXK	23	30.024	12.799974362155414	-0.5487510991246404
RAF1	0	0.462	0.8431556533214161	-0.5479415315310503
MEK2/MAP2K2	0	0.918	1.6824658527509069	-0.5456277157120479
Pim3	0	0.2295	0.4206164631877267	-0.5456277157120479
TIE2	0	0.229	0.4202943297997618	-0.5448562680089
Pim1	0	0.2275	0.41932286585984846	-0.5425413649539399
ERK1	0	0.226	0.4183437650460162	-0.5402255725626528
PKM	0	0.226	0.4183437650460162	-0.5402255725626528
PKC[delta]	0	0.225	0.41768676195871685	-0.5386811852615967
MYT1	0	0.2245	0.41735697361097357	-0.537908826723621
CDC2/CDK1	0	0.224	0.4170263246819544	-0.5371363550510483
MKK6/MAP2K6	0	0.224	0.4170263246819544	-0.5371363550510483
MKK3/MAP2K3	0	0.222	0.41569508200194083	-0.5340452885102055
Mer	36	49.283	25.204395286752774	-0.5270112553337647
Kit	10	12.7065	5.257202377540664	-0.5148175408963634
ALK	36	45.754	19.338393695841642	-0.5043852221344223
FRK	30	38.444	17.05230936346493	-0.49518219614825426
TRKB	16	24.05	16.299274007347176	-0.4938870281198614
FLT1	15	21.898	14.46513795675845	-0.47687066798952255
FLT4	16	12.35	7.89250567455681	0.46246403240057976
EphA1	3	2.2685	1.6376045384378233	0.44668904050413005
Lmr1	1	0.6775	0.731273635901967	0.44101138639057086
PDGFR[alpha]	3	2.3345	1.5610343250813037	0.4263199016878369
CCK4/PTK7	1	1.637	1.5071053988827958	-0.4226645332650275
Tyro3/Sky	28	32.3155	10.793850719584663	-0.39981097683422995
HCK	16	18.6485	6.7855707007493065	-0.3903135221489232
BTK	10	11.366	3.706469068598609	-0.36854482655010395
ROR1	1	0.727	0.7495010846809823	0.36424230141868275
KDR	20	16.6545	9.538638401851737	0.35073139991872837
Arg	52	61.6295	28.692139152990794	-0.33561457194439426
Srm	26	30.061	12.247215036001819	-0.33158558807551886
EphB3	1	1.381	1.1573714850371892	-0.3291942171771733
Fes	7	8.08	3.3084850062405087	-0.326433397147906
EphB1	2	1.615	1.2452109360014345	0.309184563730459
Ros	1	1.4345	1.4972744121678787	-0.2901939660952963
Etk/BMX	25	28.19	10.997698608679167	-0.2900606857404254
LTK	13	15.4415	8.995723387790157	-0.2714067445997543
Fyn	8	9.0705	4.018781538293201	-0.26637427036022626
TEC	31	34.9125	15.5345262078459	-0.2518583410689375
Abl	53	59.5885	27.13935223932187	-0.24276555836340147
Syk	57	53.485	15.442992521172977	0.22761132566636882
EGFR	39	43.0895	18.813863784062075	-0.21736630215556088
Yes	14	15.073	4.98940057111368	-0.21505589393086091
FLT3	9	9.7725	3.6614815271262455	-0.2109801713532899
HER2	36	33.555	13.221701164783806	0.18492325378766641
Brk	50	53.763	23.890609276571475	-0.15750958698613918
HER4	33	31.3735	11.796252520896982	0.13788277227184365
JAK3	4	3.6745	2.465682368994917	0.13201213752957283
EphA2	5	4.6905	2.380029836159729	0.13004038659422448
HER3	45	47.9685	23.028127476578263	-0.12890757196907296
JAK2	12	12.511	4.406539208255947	-0.11596401980098268
FGFR1	15	14.309	7.308640579037717	0.09454562617046636
Fer	8	8.2455	3.1572478295072854	-0.07775759562033245
ZAP70	48	48.671	15.505481901072674	-0.04327501746034603
PDGFR[beta]	6	6.0945	3.169004740533337	-0.029820087925805965
ITK	29	28.7185	9.914807585360764	0.028391877257974887
